Product_Name,Product_Type,Weather_Preference,States_Preference,Region_Preference,Soil_Moisture_%,Temperature_C,Humidity_%,Pest_Risk_%,Irrigation_Needed,Fertilizer_Required,Pest_Name,Pesticide_name 
Radish,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,34.9,17.3,72.1,25.2,Yes (Frequent),"Urea, DAP, MOP",Cutworm,Cypermethrin
Cucumber,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,41.2,27.7,71.3,34.5,Yes (Frequent),"NPK, FYM",Leaf Miner,Malathion
Litchi,Fruit Tree,Warm & Humid,"Bihar, WB, Assam",Subtropical Hills,49.4,27,80.9,30,Yes (Drip),"FYM, Potash, Boron",Armyworm,Thiamethoxam
Cherry,Fruit Tree,Cold & Temperate,"HP, J&K",Hills,24.4,14.5,59.7,24.9,Yes (Drip),"FYM, Potash, Boron",Thrips,Fipronil
Pineapple,Fruit Crop,Warm & Humid,"Kerala, Assam, WB",Coastal/Hills,50.2,28,79.3,30.1,Yes (Drip),"FYM, Potash, Zinc",Thrips,Cypermethrin
Spinach,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.7,17.9,70.7,25.1,Yes (Frequent),"NPK, FYM",Fruit Borer,Fipronil
Potato,Tuber Crop,Cool & Moist,"UP, WB, Punjab",Hills/Plains,35,16.9,64.1,24.9,Yes (2–3 cycles),"Urea, DAP, MOP",Thrips,Thiamethoxam
Green Chili,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,41,27.8,69.8,34.4,Yes (Frequent),"NPK, FYM",Mites,Malathion
Spinach,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.7,17.7,69.9,24.4,Yes (Frequent),"NPK, FYM",Fruit Borer,Fipronil
Banana,Fruit Crop,Warm & Humid,"TN, Kerala, MH",Tropical,70.7,27.4,86.4,29.8,High (Weekly),"NPK, FYM, Magnesium",Mealybug,Mancozeb
Arhar,Pulse Crop,Warm & Dry,"UP, MP, Maharashtra",Plains,30.4,30,49.7,25,Yes (Seasonal),"Urea, DAP, FYM",Armyworm,Lambda-cyhalothrin
Tomato,Vegetable,Warm & Semi-Humid,"Karnataka, AP, MP",Plains/Hills,41.8,24.1,67.9,49.8,Yes (Frequent),"NPK, Calcium, Boron",Armyworm,Lambda-cyhalothrin
Groundnut,Oilseed Crop,Warm & Dry,"Gujarat, TN, MH",Semi-arid,29.8,27.7,55.4,25.3,Yes (Seasonal),"Urea, DAP, MOP",Whitefly,Cypermethrin
Moong,Pulse Crop,Warm & Dry,"Rajasthan, MP, UP",Plains,23.4,30.1,49.4,24.9,Yes (Seasonal),"Urea, DAP, FYM",Aphids,Spinosad
Sunflower,Oilseed Crop,Warm & Dry,"Karnataka, MP, MH",Plains,31.3,25.1,55,24.6,Yes (Seasonal),"Urea, DAP, MOP",Leaf Miner,Fipronil
Radish,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,34.6,18.1,69.9,24.9,Yes (Frequent),"Urea, DAP, MOP",Cutworm,Cypermethrin
Watermelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Plains,25.1,30.5,49.8,30.1,Yes (Seasonal),"NPK, FYM",Whitefly,Mancozeb
Pear,Fruit Tree,Temperate & Moist,"HP, J&K, Uttarakhand",Hills,31,17.4,60.7,25.1,Yes (Seasonal),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Lettuce,Leafy Veg,Cool & Moist,"WB, Karnataka, Punjab",Hills/Plains,33.7,17.4,68.7,25.8,Yes (Frequent),"NPK, FYM",Leaf Miner,Fipronil
Lemon,Fruit Shrub,Warm & Humid,"TN, Kerala, MH",Tropical/Subtropical,39,24.9,69.6,29.7,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Fig,Fruit Tree,Warm & Dry,"MH, Gujarat, TN",Semi-arid,23.7,26.3,50.6,25,Yes (Drip),"FYM, Potash, Zinc",Aphids,Lambda-cyhalothrin
Turmeric,Spice Crop,Warm & Moist,"AP, TN, Odisha",Hills/Plains,49.4,27.5,79.5,35.2,Yes (Frequent),"FYM, Potash, Zinc",Stem Borer,Cypermethrin
Lemon,Fruit Shrub,Warm & Humid,"TN, Kerala, MH",Tropical/Subtropical,40.3,25.5,68.6,30,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Mosambi,Fruit Tree,Warm & Dry,"Maharashtra, UP",Tropical/Subtropical,30.4,27.1,60.6,24.8,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Carbendazim
Moong,Pulse Crop,Warm & Dry,"Rajasthan, MP, UP",Plains,25.2,30.1,51,24.4,Yes (Seasonal),"Urea, DAP, FYM",Aphids,Spinosad
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,38.9,27.1,70,34.8,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Soybean,Oilseed Crop,Warm & Moist,"MP, Maharashtra, Rajasthan",Coastal,33.2,27.2,63.3,29.6,Yes (Seasonal),"Urea, DAP, MOP",Aphids,Lambda-cyhalothrin
Black Pepper,Spice Vine,Humid & Shaded,"Kerala, Karnataka",Hills (Western Ghats),50,25.6,80.6,34.3,Yes (Rainfed + Drip),"FYM, Potash, Zinc",Cutworm,Spinosad
Knol-Khol,Vegetable,Cool & Moist,"WB, Punjab, Karnataka",Hills/Plains,34.6,19.8,68.6,29.7,Yes (Frequent),"NPK, FYM",Stem Borer,Imidacloprid
Wheat,Cereal Crop,Cool & Dry (Rabi),"Punjab, UP, MP",Plains,25.4,20.2,55.3,19.6,Yes (2–3 cycles),"Urea, DAP, Potash",Leaf Miner,Fipronil
Mosambi,Fruit Tree,Warm & Dry,"Maharashtra, UP",Tropical/Subtropical,30.6,26.8,59.2,25.2,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Carbendazim
Wheat,Cereal Crop,Cool & Dry (Rabi),"Punjab, UP, MP",Plains,25.1,20.7,54,20.2,Yes (2–3 cycles),"Urea, DAP, Potash",Leaf Miner,Fipronil
Colocasia,Tuber Crop,Warm & Moist,"WB, Odisha, Assam",Hills/Plains,50.6,27.7,79.6,34.6,Yes (Seasonal),"FYM, Potash, Zinc",Mealybug,Malathion
Coriander Leaf,Leafy Herb,Cool & Dry,"Rajasthan, MP, Gujarat",Plains,25.2,19.9,54.8,24.9,Yes (Light),"FYM, Potash, Zinc",Mites,Imidacloprid
Wheat,Cereal Crop,Cool & Dry (Rabi),"Punjab, UP, MP",Plains,25.4,20.2,54.5,19.3,Yes (2–3 cycles),"Urea, DAP, Potash",Leaf Miner,Fipronil
Watermelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Plains,24.4,29.4,50.5,29.8,Yes (Seasonal),"NPK, FYM",Whitefly,Mancozeb
Sweet Potato,Tuber Crop,Warm & Moist,"Odisha, WB, Assam",Plains,34.9,28,69.6,30.2,Yes (Seasonal),"FYM, Potash, Zinc",Stem Borer,Lambda-cyhalothrin
Kinnow,Fruit Tree,Cool & Dry,"Punjab, HP, Rajasthan",Subtropical,30.2,19.9,55.8,25.3,Yes (Drip),"FYM, Potash, Zinc",Leaf Miner,Mancozeb
Turmeric,Spice Crop,Warm & Moist,"AP, TN, Odisha",Hills/Plains,50.6,27.4,80.2,34.7,Yes (Frequent),"FYM, Potash, Zinc",Stem Borer,Cypermethrin
Date Palm,Fruit Tree,Hot & Dry,"Rajasthan, Gujarat",Arid/Coastal,19.7,34.8,39.4,25.4,Yes (Drip),"FYM, Potash, Zinc",Armyworm,Fipronil
Coconut,Plantation,Warm & Humid,"Kerala, TN, Goa",Plains,70.4,28.3,84.3,24.4,Yes (Rainfed + Drip),"FYM, Potash, Magnesium",Leaf Miner,Cypermethrin
Capsicum,Vegetable,Cool & Moist,"HP, Karnataka, Punjab",Hills/Plains,34.8,20.3,68.6,29.5,Yes (Frequent),"NPK, FYM",Leaf Miner,Lambda-cyhalothrin
Papaya,Fruit Crop,Warm & Humid,"WB, TN, Kerala",Tropical,49.9,27.6,80.2,30.3,Yes (Drip),"FYM, Potash, Boron",Whitefly,Carbendazim
Coriander,Spice/Herb,Cool & Dry,"Rajasthan, MP, Gujarat",Plains,25.7,20.3,54.7,25.7,Yes (Light),"FYM, Potash, Zinc",Aphids,Lambda-cyhalothrin
Watermelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Plains,23.4,30,48,30.2,Yes (Seasonal),"NPK, FYM",Whitefly,Mancozeb
Ber,Fruit Tree,Dry & Sunny,"Rajasthan, Gujarat",Arid/Semi-arid,24,30.2,49.5,25,Yes (Drip),"FYM, Potash, Zinc",Aphids,Malathion
Brinjal,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,38.8,27.3,69.2,34.1,Yes (Frequent),"NPK, FYM",Thrips,Imidacloprid
Rajma,Pulse Crop,Cool & Dry,"HP, Uttarakhand, J&K",Hills/Plains,28.2,22.4,56.3,24.2,Yes (Seasonal),"Urea, DAP, FYM",Fruit Borer,Spinosad
Phalsa,Fruit Shrub,Warm & Dry,"Rajasthan, Gujarat",Semi-arid,24.5,29.4,48.6,25.1,Yes (Drip),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Date Palm,Fruit Tree,Hot & Dry,"Rajasthan, Gujarat",Arid/Coastal,20.6,35.5,38.8,24.9,Yes (Drip),"FYM, Potash, Zinc",Armyworm,Fipronil
Groundnut,Oilseed Crop,Warm & Dry,"Gujarat, TN, MH",Semi-arid,29.8,28,55.9,24.6,Yes (Seasonal),"Urea, DAP, MOP",Whitefly,Cypermethrin
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40.2,27.2,71.2,35,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Date Palm,Fruit Tree,Hot & Dry,"Rajasthan, Gujarat",Arid/Coastal,20.9,35.9,39.4,25,Yes (Drip),"FYM, Potash, Zinc",Armyworm,Fipronil
Papaya,Fruit Crop,Warm & Humid,"WB, TN, Kerala",Tropical,51,27.9,79.5,30.4,Yes (Drip),"FYM, Potash, Boron",Whitefly,Carbendazim
Watermelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Plains,24.9,30.4,50.5,30.1,Yes (Seasonal),"NPK, FYM",Whitefly,Mancozeb
Coriander Leaf,Leafy Herb,Cool & Dry,"Rajasthan, MP, Gujarat",Plains,26.1,20,53,25.5,Yes (Light),"FYM, Potash, Zinc",Mites,Imidacloprid
Muskmelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Hills/Plains,25.1,29.9,48.4,30,Yes (Seasonal),"NPK, FYM",Cutworm,Carbendazim
Broccoli,Leafy Veg,Cool & Moist,"Punjab, WB, Karnataka",Plains,34.3,17.4,69.8,30,Yes (Frequent),"NPK, FYM",Aphids,Imidacloprid
Soybean,Oilseed Crop,Warm & Moist,"MP, Maharashtra, Rajasthan",Coastal,34.5,27.7,66.3,30.4,Yes (Seasonal),"Urea, DAP, MOP",Aphids,Lambda-cyhalothrin
Pomegranate,Fruit Shrub,Dry & Sunny,"MH, Gujarat, AP",Semi-arid,23.8,30.6,49.6,19.6,Yes (Drip),"FYM, Potash, Boron",Mites,Imidacloprid
Date Palm,Fruit Tree,Hot & Dry,"Rajasthan, Gujarat",Arid/Coastal,19.3,35.1,40.1,26.1,Yes (Drip),"FYM, Potash, Zinc",Armyworm,Fipronil
Colocasia,Tuber Crop,Warm & Moist,"WB, Odisha, Assam",Hills/Plains,49.7,27.1,81,35.2,Yes (Seasonal),"FYM, Potash, Zinc",Mealybug,Malathion
Radish,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.6,17.8,71.8,25.2,Yes (Frequent),"Urea, DAP, MOP",Cutworm,Cypermethrin
Pomegranate,Fruit Shrub,Dry & Sunny,"MH, Gujarat, AP",Semi-arid,26.3,30.4,49.5,20.2,Yes (Drip),"FYM, Potash, Boron",Mites,Imidacloprid
Lemon,Fruit Shrub,Warm & Humid,"TN, Kerala, MH",Tropical/Subtropical,38.9,25.3,70,30.8,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Mosambi,Fruit Tree,Warm & Dry,"Maharashtra, UP",Tropical/Subtropical,30.3,27.8,61.5,25.3,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Carbendazim
Wheat,Cereal Crop,Cool & Dry (Rabi),"Punjab, UP, MP",Plains,24.2,19.9,53.7,19.4,Yes (2–3 cycles),"Urea, DAP, Potash",Leaf Miner,Fipronil
Date Palm,Fruit Tree,Hot & Dry,"Rajasthan, Gujarat",Arid/Coastal,20.4,34.6,40.9,25.6,Yes (Drip),"FYM, Potash, Zinc",Armyworm,Fipronil
Apple,Fruit Tree,Cold & Temperate,"HP, J&K, Uttarakhand",Hills,24.9,14.7,49.1,14.9,Yes (Drip),"FYM, Calcium, Boron",Cutworm,Malathion
Watermelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Plains,23.6,29.3,50.1,30,Yes (Seasonal),"NPK, FYM",Whitefly,Mancozeb
Apricot,Fruit Tree,Cold & Temperate,"HP, J&K",Plains,25.7,15.1,59.8,24.5,Yes (Drip),"FYM, Potash, Boron",Armyworm,Spinosad
Beetroot,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,34.5,17.5,69.2,25.2,Yes (Frequent),"Urea, DAP, MOP",Fruit Borer,Thiamethoxam
Rice,Cereal Crop,Warm & Humid (Kharif),"WB, TN, AP, Bihar",Plain/Delta,49.6,29.8,79.2,39.7,Yes (Flood/Irrigation),"Urea, SSP, MOP",Mites,Mancozeb
Ridge Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,39.2,26.3,70.2,35,Yes (Frequent),"NPK, FYM",Cutworm,Thiamethoxam
Custard Apple,Fruit Tree,Warm & Dry,"Maharashtra, Gujarat",Semi-arid,29.5,27,60.8,24.9,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Apricot,Fruit Tree,Cold & Temperate,"HP, J&K",Plains,25.3,15.4,59.9,25.8,Yes (Drip),"FYM, Potash, Boron",Armyworm,Spinosad
Knol-Khol,Vegetable,Cool & Moist,"WB, Punjab, Karnataka",Hills/Plains,34.9,19.7,70.1,30.8,Yes (Frequent),"NPK, FYM",Stem Borer,Imidacloprid
Pumpkin,Vegetable,Warm & Dry,"UP, Bihar, WB",Plains,30.3,27.6,55.5,30,Yes (Seasonal),"NPK, FYM",Aphids,Fipronil
Mustard,Oilseed Crop,Cool & Dry,"UP, Punjab, Rajasthan",Plains,30.3,19.4,54.2,25,Yes (2–3 cycles),"Urea, DAP, MOP",Mites,Mancozeb
Broccoli,Leafy Veg,Cool & Moist,"Punjab, WB, Karnataka",Plains,36,18.1,70.6,29.8,Yes (Frequent),"NPK, FYM",Aphids,Imidacloprid
Broccoli,Leafy Veg,Cool & Moist,"Punjab, WB, Karnataka",Plains,34.7,17.4,70.7,30.4,Yes (Frequent),"NPK, FYM",Aphids,Imidacloprid
Sweet Potato,Tuber Crop,Warm & Moist,"Odisha, WB, Assam",Plains,33.8,27.6,72.2,29.9,Yes (Seasonal),"FYM, Potash, Zinc",Stem Borer,Lambda-cyhalothrin
Ber,Fruit Tree,Dry & Sunny,"Rajasthan, Gujarat",Arid/Semi-arid,25.8,30.9,49.7,24.8,Yes (Drip),"FYM, Potash, Zinc",Aphids,Malathion
Green Peas,Pulse Crop,Cool & Moist,"UP, Punjab, WB",Plains,34.7,18.1,64.6,25.4,Yes (Seasonal),"Urea, DAP, FYM",Thrips,Carbendazim
Knol-Khol,Vegetable,Cool & Moist,"WB, Punjab, Karnataka",Hills/Plains,35.9,19.9,70.7,29.8,Yes (Frequent),"NPK, FYM",Stem Borer,Imidacloprid
Capsicum,Vegetable,Cool & Moist,"HP, Karnataka, Punjab",Hills/Plains,35.3,19.8,70.7,30,Yes (Frequent),"NPK, FYM",Leaf Miner,Lambda-cyhalothrin
Mulberry,Fruit Tree,Warm & Humid,"Karnataka, WB, TN",Tropical,39.9,27.4,69.5,29.4,Yes (Drip),"FYM, Potash, Zinc",Whitefly,Lambda-cyhalothrin
Broccoli,Leafy Veg,Cool & Moist,"Punjab, WB, Karnataka",Plains,35.3,17.7,69.7,30.3,Yes (Frequent),"NPK, FYM",Aphids,Imidacloprid
Sunflower,Oilseed Crop,Warm & Dry,"Karnataka, MP, MH",Plains,31.5,25,55.5,25.8,Yes (Seasonal),"Urea, DAP, MOP",Leaf Miner,Fipronil
Orange,Fruit Tree,Warm & Dry,"Maharashtra, Punjab",Subtropical Hills,31.6,27.3,59.3,25.3,Yes (Drip),"FYM, Potash, Zinc",Cutworm,Mancozeb
Green Peas,Pulse Crop,Cool & Moist,"UP, Punjab, WB",Plains,35.1,18.1,64.7,25.6,Yes (Seasonal),"Urea, DAP, FYM",Thrips,Carbendazim
French Bean,Pulse Crop,Warm & Moist,"Karnataka, MH, TN",Plains,35.1,24,65.1,29.7,Yes (Frequent),"NPK, FYM",Mites,Imidacloprid
Rajma,Pulse Crop,Cool & Dry,"HP, Uttarakhand, J&K",Hills/Plains,30.8,22.4,55.8,25.1,Yes (Seasonal),"Urea, DAP, FYM",Fruit Borer,Spinosad
Pear,Fruit Tree,Temperate & Moist,"HP, J&K, Uttarakhand",Hills,29.3,18.5,59.5,24.6,Yes (Seasonal),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Knol-Khol,Vegetable,Cool & Moist,"WB, Punjab, Karnataka",Hills/Plains,35.3,20.7,68.4,29.9,Yes (Frequent),"NPK, FYM",Stem Borer,Imidacloprid
Strawberry,Fruit Crop,Cool & Moist,"HP, J&K, Uttarakhand",Hills,35,17.6,68.4,30.3,Yes (Drip),"FYM, Potash, Boron",Mealybug,Imidacloprid
Rice,Cereal Crop,Warm & Humid (Kharif),"WB, TN, AP, Bihar",Plain/Delta,50.2,30.4,78.9,40,Yes (Flood/Irrigation),"Urea, SSP, MOP",Mites,Mancozeb
Mustard,Oilseed Crop,Cool & Dry,"UP, Punjab, Rajasthan",Plains,29.3,19.7,53.9,24.4,Yes (2–3 cycles),"Urea, DAP, MOP",Mites,Mancozeb
Okra,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,38.8,27.2,69.9,34.5,Yes (Frequent),"NPK, FYM",Armyworm,Imidacloprid
Potato,Tuber Crop,Cool & Moist,"UP, WB, Punjab",Hills/Plains,33.4,17.7,64,24.4,Yes (2–3 cycles),"Urea, DAP, MOP",Thrips,Thiamethoxam
Coriander,Spice/Herb,Cool & Dry,"Rajasthan, MP, Gujarat",Plains,24.1,20.4,54.4,25.2,Yes (Light),"FYM, Potash, Zinc",Aphids,Lambda-cyhalothrin
Orange,Fruit Tree,Warm & Dry,"Maharashtra, Punjab",Subtropical Hills,29.6,27.5,59.3,25.8,Yes (Drip),"FYM, Potash, Zinc",Cutworm,Mancozeb
Colocasia,Tuber Crop,Warm & Moist,"WB, Odisha, Assam",Hills/Plains,49.8,27,79.6,35.5,Yes (Seasonal),"FYM, Potash, Zinc",Mealybug,Malathion
Grapes,Fruit Vine,Dry & Sunny,"MH, Karnataka",Semi-arid,26.5,27,51.1,24.2,Yes (Drip),"Potash, FYM, Zinc",Fruit Borer,Carbendazim
Arhar,Pulse Crop,Warm & Dry,"UP, MP, Maharashtra",Plains,30.9,29.4,50.6,25.6,Yes (Seasonal),"Urea, DAP, FYM",Armyworm,Lambda-cyhalothrin
Mosambi,Fruit Tree,Warm & Dry,"Maharashtra, UP",Tropical/Subtropical,29.2,26.8,60,25.4,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Carbendazim
Masoor,Pulse Crop,Cool & Dry,"UP, MP, Bihar",Plains,30.3,20,54.6,24.4,Yes (Seasonal),"Urea, DAP, FYM",Cutworm,Cypermethrin
Rajma,Pulse Crop,Cool & Dry,"HP, Uttarakhand, J&K",Hills/Plains,29.7,22,54.6,24.9,Yes (Seasonal),"Urea, DAP, FYM",Fruit Borer,Spinosad
Niger,Oilseed Crop,Dry & Sunny,"MP, Odisha, Chhattisgarh",Plains,24.8,25,50.3,25.4,Yes (Light),"FYM, Potash, Zinc",Cutworm,Spinosad
Bitter Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40.1,26.6,70.5,35.2,Yes (Frequent),"NPK, FYM",Stem Borer,Malathion
Niger,Oilseed Crop,Dry & Sunny,"MP, Odisha, Chhattisgarh",Plains,25.5,24.9,49.2,24.5,Yes (Light),"FYM, Potash, Zinc",Cutworm,Spinosad
Pomegranate,Fruit Shrub,Dry & Sunny,"MH, Gujarat, AP",Semi-arid,24.7,29.9,50,20.2,Yes (Drip),"FYM, Potash, Boron",Mites,Imidacloprid
Urad,Pulse Crop,Warm & Dry,"MP, UP, Maharashtra",Plains,25.8,30.8,48.3,24.1,Yes (Seasonal),"Urea, DAP, FYM",Mites,Malathion
Apricot,Fruit Tree,Cold & Temperate,"HP, J&K",Plains,24.1,14.4,60.2,24.9,Yes (Drip),"FYM, Potash, Boron",Armyworm,Spinosad
Kinnow,Fruit Tree,Cool & Dry,"Punjab, HP, Rajasthan",Subtropical,30,19.8,55.6,25.5,Yes (Drip),"FYM, Potash, Zinc",Leaf Miner,Mancozeb
Amaranthus,Leafy Veg,Warm & Moist,"WB, TN, Kerala",Plains,37,28.2,69.8,30,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Niger,Oilseed Crop,Dry & Sunny,"MP, Odisha, Chhattisgarh",Plains,25.2,25.2,51.5,24.8,Yes (Light),"FYM, Potash, Zinc",Cutworm,Spinosad
Chana,Pulse Crop,Cool & Dry,"MP, Rajasthan, UP",Plains,31.1,20.2,54.3,25.4,Yes (Seasonal),"Urea, DAP, FYM",Armyworm,Lambda-cyhalothrin
Apricot,Fruit Tree,Cold & Temperate,"HP, J&K",Plains,25.1,15,60.2,25.4,Yes (Drip),"FYM, Potash, Boron",Armyworm,Spinosad
Soybean,Oilseed Crop,Warm & Moist,"MP, Maharashtra, Rajasthan",Coastal,35.5,27.6,65,30.5,Yes (Seasonal),"Urea, DAP, MOP",Aphids,Lambda-cyhalothrin
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40,27.8,69.9,35.4,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Plum,Fruit Tree,Cold & Temperate,"HP, J&K",Semi-arid,24.9,14.7,59.9,25.4,Yes (Drip),"FYM, Potash, Boron",Stem Borer,Imidacloprid
Knol-Khol,Vegetable,Cool & Moist,"WB, Punjab, Karnataka",Hills/Plains,34.4,20.4,70.1,30.3,Yes (Frequent),"NPK, FYM",Stem Borer,Imidacloprid
Moong,Pulse Crop,Warm & Dry,"Rajasthan, MP, UP",Plains,25.3,29.5,50.7,25.1,Yes (Seasonal),"Urea, DAP, FYM",Aphids,Spinosad
Pear,Fruit Tree,Temperate & Moist,"HP, J&K, Uttarakhand",Hills,29.3,18.6,61.2,25,Yes (Seasonal),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Soybean,Oilseed Crop,Warm & Moist,"MP, Maharashtra, Rajasthan",Coastal,35.5,27.6,65,29.9,Yes (Seasonal),"Urea, DAP, MOP",Aphids,Lambda-cyhalothrin
Lettuce,Leafy Veg,Cool & Moist,"WB, Karnataka, Punjab",Hills/Plains,35.9,17.3,70.7,24.5,Yes (Frequent),"NPK, FYM",Leaf Miner,Fipronil
Fig,Fruit Tree,Warm & Dry,"MH, Gujarat, TN",Semi-arid,25.3,27,49.4,24.6,Yes (Drip),"FYM, Potash, Zinc",Aphids,Lambda-cyhalothrin
Bottle Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,39.8,27.3,70.6,34.9,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Custard Apple,Fruit Tree,Warm & Dry,"Maharashtra, Gujarat",Semi-arid,30.4,27.1,59.4,25.1,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Pear,Fruit Tree,Temperate & Moist,"HP, J&K, Uttarakhand",Hills,29.8,18.4,60.9,25.6,Yes (Seasonal),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Dry Red Chili,Spice Crop,Warm & Dry,"AP, MP, Rajasthan",Semi-arid,30.7,29.6,51.9,35,Yes (Seasonal),"FYM, Potash, Zinc",Aphids,Mancozeb
Lemon,Fruit Shrub,Warm & Humid,"TN, Kerala, MH",Tropical/Subtropical,38.6,25.1,69.9,30.4,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Amaranthus,Leafy Veg,Warm & Moist,"WB, TN, Kerala",Plains,34.7,27,68.1,30.4,Yes (Frequent),"NPK, FYM",Fruit Borer,Chlorpyrifos
Knol-Khol,Vegetable,Cool & Moist,"WB, Punjab, Karnataka",Hills/Plains,33.4,20.3,69.5,29.9,Yes (Frequent),"NPK, FYM",Stem Borer,Imidacloprid
Sweet Potato,Tuber Crop,Warm & Moist,"Odisha, WB, Assam",Plains,33.8,27,71,30.2,Yes (Seasonal),"FYM, Potash, Zinc",Stem Borer,Lambda-cyhalothrin
Lemon,Fruit Shrub,Warm & Humid,"TN, Kerala, MH",Tropical/Subtropical,41.1,24.8,70.5,29.9,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Papaya,Fruit Crop,Warm & Humid,"WB, TN, Kerala",Tropical,50.7,27.2,80.2,30.5,Yes (Drip),"FYM, Potash, Boron",Whitefly,Carbendazim
Black Pepper,Spice Vine,Humid & Shaded,"Kerala, Karnataka",Hills (Western Ghats),49.4,25.5,80.9,35.3,Yes (Rainfed + Drip),"FYM, Potash, Zinc",Cutworm,Spinosad
Yam,Tuber Crop,Warm & Moist,"Kerala, WB, Odisha",Plains,33.8,27.6,70.4,29.5,Yes (Seasonal),"FYM, Potash, Zinc",Mealybug,Spinosad
Cabbage,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Arid/Semi-arid,32.7,17.4,71,30.1,Yes (Frequent),"NPK, FYM",Thrips,Mancozeb
Phalsa,Fruit Shrub,Warm & Dry,"Rajasthan, Gujarat",Semi-arid,24.6,30.2,50.8,25.7,Yes (Drip),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Radish,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,36.9,16.7,71.3,24.9,Yes (Frequent),"Urea, DAP, MOP",Cutworm,Cypermethrin
Sapota,Fruit Tree,Warm & Humid,"MH, Karnataka, TN",Tropical,40.3,27.5,70.3,30.2,Yes (Drip),"FYM, Potash, Zinc",Mealybug,Chlorpyrifos
Watermelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Plains,24.6,30.8,50.8,30.2,Yes (Seasonal),"NPK, FYM",Whitefly,Mancozeb
Date Palm,Fruit Tree,Hot & Dry,"Rajasthan, Gujarat",Arid/Coastal,20.4,35.1,39.7,24.6,Yes (Drip),"FYM, Potash, Zinc",Armyworm,Fipronil
Knol-Khol,Vegetable,Cool & Moist,"WB, Punjab, Karnataka",Hills/Plains,33.8,20,69.5,30.2,Yes (Frequent),"NPK, FYM",Stem Borer,Imidacloprid
Onion,Bulb Crop,Warm & Dry,"MH, Gujarat, Karnataka",Hills,29.8,25.2,56.4,34.4,Yes (Seasonal),"Urea, DAP, MOP",Mites,Cypermethrin
Radish,Root Crop,Cool & Moist,"WB, Punjab, Karnataka",Plains,35.1,17.9,70.2,24.7,Yes (Frequent),"Urea, DAP, MOP",Cutworm,Cypermethrin
Green Chili,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,39.9,26.7,70.7,35.4,Yes (Frequent),"NPK, FYM",Mites,Malathion
